Event Name,Date,Time,Location,Description,Source URL,Vibe Score,Status,Notes,Categories,isFree
"Taste of Tribeca 2026","May 16, 2026","11:30AM–3PM","Tribeca, NYC","Annual food and culture festival celebrating Tribeca's celebrated culinary scene. One of NYC's most beloved upscale neighborhood food experiences with chefs, restaurants, and artisan vendors.","https://www.averagesocialite.com/nyc-events/2026/5/16/taste-of-tribeca-2026-nyc","8 — Premium culinary event in one of NYC's most aspirational neighborhoods. Strong brand alignment with Elite Spaces lifestyle and aesthetic.","Pending Review","Note: same day as Park Avenue Day. Both are May 16 — could make for a strong double-feature editorial.","art",false
"Castlery Chelsea Showroom Opening Weekend","May 15-17, 2026","TBD","Chelsea, NYC","Grand opening weekend for Castlery's new Chelsea showroom with curated in-store activations and limited-edition goodie bags for visitors.","https://www.hellomagazine.com/us/893479/nyc-events-april-2026-concerts-sports-free-popups/","6 — Design-forward brand opening in Chelsea; aspirational interiors and lifestyle crowd, upscale neighborhood fit.","Pending Review","Source is a Hello Magazine roundup — verify address and hours on Castlery's website before publishing.","popup,free",true
"ALO Dance Cardio at Backyard Hudson Yards","Every other Tuesday from May 12, 2026","TBD","Backyard Hudson Yards, NYC","Free bi-weekly Dance Cardio classes hosted by ALO Yoga, led by instructor Sarah Wolff. Premium wellness brand activation in a luxury retail setting.","https://www.nycforfree.co/events","7 — Trendy wellness brand (ALO Yoga), premium Hudson Yards location, beauty and wellness crossover audience.","Pending Review","Recurring bi-weekly. Confirm full schedule of dates and class time on ALO's site or nycforfree.co.","free",true
"NYSCC Suppliers' Day 2026","May 19-20, 2026","All day","Javits Convention Center, NYC","Premier cosmetic science and ingredient innovation trade show with 675+ exhibitors from around the world. The beauty industry's biggest B2B spring event in NYC.","https://nyscc.org/suppliers-day/","7 — Core beauty industry event; directly relevant to professional beauty segment of Elite Spaces audience. Strong editorial potential.","Pending Review","B2B trade show — not consumer-facing. Consider framing as editorial coverage or an insider industry guide. Check for consumer-adjacent after-parties or networking events.","industry",false
"Queens Museum Spring Benefit","May 18, 2026","6:30PM","Queens Museum, Flushing Meadows, Queens, NYC","Annual cultural benefit with cocktails, dinner, program, and afterparty supporting the Queens Museum's collection and community programs.","https://www.invitednyc.com/home/2026/3/28/top-gala-events-in-nyc-for-2026","6 — Cultural benefit; Queens Museum is less prestige than Manhattan counterparts but format is social and on-brand.","Pending Review","Source is InvitedNYC roundup. Verify ticket details before publishing.","gala",false
"New York Live Arts Spring Benefit","May 18, 2026","6PM cocktails / 7PM dinner","New York Live Arts, West Village, NYC","Annual spring benefit with cocktails, dinner, program, and dance party supporting contemporary dance and performance art in NYC.","https://www.invitednyc.com/home/2026/3/28/top-gala-events-in-nyc-for-2026","6 — Arts benefit with dinner and dance party; contemporary dance audience skews creative and upscale social.","Pending Review","Source is InvitedNYC roundup. Verify ticket pricing. Same date as Queens Museum Benefit — note scheduling conflict.","gala",false
"Song of Skin Hotel K-Beauty Pop-Up","May 23-25, 2026","10AM–7PM","188 Lafayette St, SoHo, NYC","Multi-brand Korean skincare pop-up experience with a hotel concept. Features top K-beauty brands including Celimax, Biodance, SKIN1004, Anua, Purito, and more. First 150 guests receive a Lucky Bag ($200+ value) with any purchase.","https://www.nycforfree.co/events/song-of-skin-vanity-pop-up","8 — Premium K-beauty event in SoHo, luxury gifting perks, beauty insider discovery. Strong fit for Elite Spaces beauty and social audience. The Lucky Bag offer makes this a compelling editorial hook.","Pending Review","","beauty,popup",false
"SailGP Race Weekend Experience at Ritz-Carlton","May 30, 2026","TBD","Ritz-Carlton New York + Central Park, NYC","Luxury race-day inspired fan experience co-hosted by the Ritz-Carlton, featuring radio-controlled boat racing in Central Park and race-viewing activations.","https://www.nycforfree.co/events","9 — Top Elite Spaces fit: Ritz-Carlton brand partnership, upscale experiential, Central Park setting. Luxury, insider, social.","Pending Review","Confirm full event details and RSVP/ticket info directly on the Ritz-Carlton's website before publishing.","free",true
"Read on the Lawn Day — Bryant Park","June 1, 2026","5:30PM–8PM","Bryant Park, Midtown NYC","Outdoor reading party on the iconic Bryant Park lawn hosted by Reading Rhythms. Kicks off the summer season of free weekly literary programming at Bryant Park including author panels, poetry readings, and writing workshops.","https://www.nycforfree.co/events/read-on-the-lawn-day-at-bryant-park","6 — Chic literary lifestyle moment; Bryant Park location and Reading Rhythms brand have crossover with the cultural, aspirational Elite Spaces audience.","Pending Review","","art,free",true
"Glasshouse Benefit 2026","June 2, 2026","6:30PM–9:30PM","The Glasshouse, NYC","Polished benefit evening at The Glasshouse — a modern Manhattan venue with an elegant format and stunning city views. One of early summer's most refined benefit events.","https://www.invitednyc.com/home/2026/3/28/top-gala-events-in-nyc-for-2026","7 — Upscale benefit at a premium venue; elegant format and Manhattan social crowd. Solid Elite Spaces fit.","Pending Review","Source is InvitedNYC gala roundup. Verify beneficiary organization, ticket info, and full event details before publishing.","gala",false
"Fenty Beauty Crop Over Glam Pop-Up","June 5, 2026","TBD","Ulta Beauty Herald Square, NYC","Fenty Beauty pops up at Ulta Beauty Herald Square to celebrate Crop Over season — shade matching, DJ, exclusive giveaways, limited-edition merch with customizations, and custom sips.","https://www.nycforfree.co/events/fenty-beauty-crop-over-glam-pop-up-event","9 — Fenty Beauty is an Elite Spaces audience cornerstone brand: inclusive luxury, beauty culture, Rihanna's brand equity. Pop-up with DJ and customizations makes this a social event, not just a product demo.","Pending Review","","beauty,popup,free",true
"Citi Concert Series on TODAY 2026 — Summer Run","Fridays May 8 through Summer 2026","7AM–9AM","Rockefeller Plaza, Midtown NYC","Free weekly Friday outdoor concerts. Summer lineup: Zara Larsson (May 8), Bleachers (May 22), Charlie Puth (May 29), Lizzo (June 5), Niall Horan (June 12), Melanie Martinez (June 26), Tyla (June 24), Mumford & Sons (June 29).","https://www.averagesocialite.com/nyc-events/2026/5/8/citi-concert-series-on-today-2026-nyc","6 — Iconic free NYC summer moment; broad mainstream appeal but not exclusive. Good awareness content. Consider featuring standout artist dates separately.","Pending Review","Recurring series through summer. Consider splitting high-profile artist dates (Lizzo, Tyla) into individual listings for better editorial impact.","free",true
"Governor's Ball Music Festival 2026","June 5-7, 2026","All day","Flushing Meadows Corona Park, Queens, NYC","Annual three-day music festival with major headliners across multiple stages. NYC's largest summer music event.","https://www.averagesocialite.com/nyc","5 — Large mainstream festival; broad audience appeal but lacks exclusivity and the insider upscale angle of Elite Spaces.","Pending Review","Low vibe flag: mass-market event, 60K+ daily attendance. Not aligned with Elite Spaces curation. Consider skipping or treating as a brief city-happenings mention only.","free",false
"Museum Mile Festival 2026","June 9, 2026","6PM–9PM","Fifth Avenue (82nd–105th St), Upper East Side, NYC","Annual evening festival opening five world-class museums along Fifth Avenue for free — the Met, Guggenheim, Cooper Hewitt, and others. A beloved cultural evening on the Upper East Side.","https://www.averagesocialite.com/nyc-events/museum-mile-festival-2026-nyc","8 — Upper East Side, world-class museums, aspirational cultural evening. Perfect Elite Spaces vibe: elevated, beautiful, and accessible luxury for the art and social crowd.","Pending Review","","art,free",true
"Central Park SummerStage 2026 — Opening Night","June 10, 2026","TBD","Rumsey Playfield, Central Park, NYC","SummerStage opens its 2026 season with Ledisi for Dinah — a tribute performance at the iconic Central Park venue. Free and benefit concerts through the summer.","https://www.centralpark.com/things-to-do/concerts/summerstage-festival/","7 — Central Park, legendary venue, cultural calendar cornerstone. Ledisi's tribute show as the opening night elevates this above a typical free concert.","Pending Review","Verify ticket type (free vs. benefit) and full SummerStage 2026 lineup for additional listing opportunities throughout the summer.","art,free",true
"Cuban Salsa Festival NYC 2026","May 14, 2026","6PM–10PM","TBD, NYC","Evening of Salsa, timba, and rumba dancing at this annual NYC festival celebrating Cuban music and dance culture.","https://www.nycforfree.co/events","4 — Cultural event but not aligned with Elite Spaces' upscale social and beauty industry angle. Low vibe fit.","Pending Review","Low vibe flag: fun community event but off-brand for Elite Spaces curation. Recommend skipping unless a specific Cuban culture editorial angle is planned.","free",true
"NYC Community Week 2026","May 9-17, 2026","Various","100+ venues across all 5 boroughs, NYC","Annual citywide celebration across New York's five boroughs featuring pop-ups, cultural activations, neighborhood events, and community moments at more than 100 venues. A full week of discovering the city at its most vibrant.","https://www.nycforfree.co/events","6 — Broad community event; strong NYC-pride energy but not upscale-exclusive. Good awareness content and editorial backdrop.","Pending Review","Multi-day citywide. Consider spotlighting specific high-end neighborhood moments within Community Week rather than the event as a whole.","free",true
"MoMA PS1 Annual Benefit 2026","May 12, 2026","7PM cocktails","MoMA PS1, 22-25 Jackson Ave, Queens, NYC","Annual gala benefit supporting MoMA PS1's contemporary art programming, featuring cocktails, dinner, and live performances in one of NYC's most acclaimed contemporary art institutions.","https://www.moma.org/calendar/","8 — MoMA PS1 benefit carries serious art-world prestige. Collectors, gallerists, and cultural tastemakers. Strong fit for the Elite Spaces art and social crowd.","Pending Review","Verify ticket pricing and honorees on moma.org before publishing.","gala,art",false
"City Harvest Gala — Shaken, Not Stirred","May 19, 2026","Evening","NYC","Annual black-tie benefit for City Harvest — NYC's largest food rescue organization — styled around a cocktail party theme. One of the city's most stylish philanthropic evenings, drawing celebrity chefs, media figures, and upscale social crowd.","https://www.averagesocialite.com/nyc","8 — Black-tie benefit with strong NYC social scene presence and excellent editorial hook. City Harvest galas are reliably chic.","Pending Review","Verify venue and ticket info. Confirm 2026 honorees for editorial angle.","gala",false
"Alice & Olivia x 260 Sample Sale","May 12-17, 2026","TBD","NYC","Annual sample sale from alice + olivia hosted by 260 Sample Sale — one of NYC's most sought-after fashion sample sales, offering deeply discounted pieces from the beloved NYC-born label.","https://www.averagesocialite.com/nyc","7 — NYC fashion insider moment; 260 Sample Sale format draws a stylish, beauty-adjacent crowd. Good discovery content.","Pending Review","Verify exact location (260 Sample Sale venues shift). Confirm specific address before publishing.","popup",false
"Shakespeare in the Park: Romeo and Juliet","Opens May 22, 2026","8PM","Delacorte Theater, Central Park, NYC","The Public Theater's Shakespeare in the Park returns to the iconic Delacorte Theater in Central Park with a fresh production of Romeo and Juliet. Free tickets distributed by lottery. One of NYC's most beloved summer traditions.","https://www.publictheater.org/","8 — Free Shakespeare at the Delacorte is an aspirational NYC cultural institution moment. The free luxury experience that defines the city at its best.","Pending Review","Free tickets via Public Theater lottery app or in-person queue at the Delacorte. Verify opening night date and run dates.","art,free",true
"Bryant Park Picnic Performances — Opening Night","May 28, 2026","7PM","Bryant Park Lawn, 42nd St & 6th Ave, NYC","Bryant Park's beloved free summer concert and performance series kicks off its season on the iconic lawn. One of Midtown's most elegant free cultural rituals, drawing an upscale after-work crowd.","https://bryantpark.org/","7 — Elegant free outdoor cultural series at Bryant Park; aspirational Midtown setting with a sophisticated regular crowd. Strong seasonal editorial hook.","Pending Review","Confirm opening night performer and full summer schedule on bryantpark.org.","art,free",true
"Merit x Brooks Brothers — The Uniform Dry Cleaners Pop-Up","May 30-June 1, 2026","11AM–7PM","251 Elizabeth Street, NYC","Merit Beauty transforms a downtown NYC space into an immersive dry cleaner concept celebrating the launch of The Uniform Tinted Mineral Sunscreen, in exclusive collaboration with Brooks Brothers. Limited-edition monogrammed button-downs, shade matching, and exclusive gifts.","https://www.averagesocialite.com/nyc-events/2025/5/30/merit-the-uniform-dry-cleaners-nyc","8 — Merit is one of the most on-brand beauty labels for the Elite Spaces audience: minimalist luxury, editorial-ready. The Brooks Brothers collab and immersive concept elevate this above a typical pop-up.","Pending Review","3-day run only. Verify 2026 dates on Merit's site or nycforfree.co — confirm this is the 2026 activation.","beauty,popup,free",true
"Tribeca Festival Opening Night Gala 2026","June 3, 2026","TBD","Beacon Theatre, Upper West Side, NYC","The 25th anniversary Tribeca Festival opens with the world premiere of an HBO documentary directed by Questlove, followed by a live performance by Earth, Wind & Fire and The Roots. One of NYC's most star-studded early-summer nights.","https://tribecafilm.com/press-center/press-releases/tribeca-festival-announces-opening-night-for-25th-anniversary-festival","9 — 25th anniversary Tribeca Opening Night with Questlove, Earth Wind & Fire, and The Roots at the Beacon Theatre. Cultural prestige, celebrity crowd, iconic NYC moment. Top Elite Spaces fit.","Pending Review","Tickets via tribecafilm.com — Opening Night passes required. Verify ticket tiers and public access.","gala,art",false
"Tribeca Festival 2026","June 3-14, 2026","Various showtimes","Various venues, Tribeca & Manhattan, NYC","The 25th edition of the Tribeca Festival — 12 days of independent film premieres, storytelling, music, and cultural programming across downtown Manhattan. One of the most prestigious film and culture festivals in the world.","https://tribecafilm.com/festival","8 — Tribeca Festival's 25th anniversary is a defining NYC cultural moment. Elite Spaces audience overlaps heavily with the film, art, and fashion crowd it draws.","Pending Review","Full programming and pass options at tribecafilm.com. Consider featuring specific high-profile screenings or talks as separate listings.","art",false
"Edge at Hudson Yards — Multi-Sensory Sky Deck","June 1, 2026","TBD","Edge Observation Deck, 30 Hudson Yards, NYC","The highest outdoor observation deck in the Western Hemisphere transforms into an immersive multi-sensory experience this summer — with curated installations and programming 1,100 feet above New York City.","https://www.averagesocialite.com/nyc-events/2026/6/1/edge-at-hudson-yards-multi-sensory-sky-deck-nyc","7 — Hudson Yards luxury address, aspirational NYC vista, experiential format. Good editorial content for the design and lifestyle-forward Elite Spaces reader.","Pending Review","Verify specific programming and ticket info on edgenyc.com.","art",false
"Morgan After Hours: Pride","June 11, 2026","6PM","The Morgan Library & Museum, 225 Madison Ave, NYC","The Morgan Library's After Hours series returns for a Pride-themed evening — cocktails, music, and exclusive access to the historic collection in one of Midtown Manhattan's most elegant cultural spaces.","https://www.themorgan.org/","8 — The Morgan Library is one of NYC's most refined and intimate museum venues. After Hours events draw a sophisticated, culturally-engaged crowd. Perfect Elite Spaces fit.","Pending Review","Verify ticket pricing and specific programming on themorgan.org.","art",false
"NYC Pride March 2026","June 28, 2026","TBD","Fifth Avenue, NYC","The world's largest Pride celebration marches down Fifth Avenue for its annual procession through Midtown Manhattan. Millions of participants and spectators fill the streets for one of NYC's most iconic cultural events.","https://www.nycpride.org/events","7 — Pride March is a defining NYC cultural moment that the Elite Spaces beauty and social audience cares deeply about. Strong editorial hook for brands, beauty, and culture coverage.","Pending Review","Verify exact route and start time on nycpride.org. Consider pairing with curated Pride beauty brand editorial.","free",true
